"Point need for
Level up",Level,Newbie (shots),Buy Skill (- point),"Mystery Box
(Level Up - Shots)","Mystery Box 
(Each 5 hours/ 5 shots)
Manual Open","Kick win
(3 point)","Keep win
(3 point)","Newbie 
Follow X (shots)",Notes
,1,5,10,,5,,,80,(cơ hội để up to level 2)
20,2,5,10,20,5,,,,
100,3,5,10,20,5,,,,
500,4,5,10,50,5,,150,,
,5,5,10,50,5,,,,
,6,5,10,50,5,,,,
,7,5,10,50,5,,,,
,8,5,10,50,5,,,,
,9,5,10,50,5,,,,
,10,5,10,50,5,,,,
,11,5,10,50,5,,,,
,12,5,10,50,5,,,,
,13,5,10,50,5,,,,
,14,5,10,50,5,,,,
,15,5,10,50,5,,,,
,16,5,10,50,5,,,,
,17,5,10,50,5,,,,
,18,5,10,50,5,,,,
,19,5,10,50,5,,,,
,20,5,10,50,5,,,,
,21,5,10,50,5,,,,
,22,5,10,50,5,,,,
,23,5,10,50,5,,,,
,24,5,10,50,5,,,,
,25,5,10,50,5,,,,
,26,5,10,50,5,,,,
,27,5,10,50,5,,,,
,28,5,10,50,5,,,,
,29,5,10,50,5,,,,
,30,5,10,50,5,,,,
,31,5,10,50,5,,,,
,32,5,10,50,5,,,,
,33,5,10,50,5,,,,
,34,5,10,50,5,,,,
,35,5,10,50,5,,,,
,36,5,10,50,5,,,,
,37,5,10,50,5,,,,
,38,5,10,50,5,,,,
,39,5,10,50,5,,,,
,40,5,10,50,5,,,,
,41,5,10,50,5,,,,
,42,5,10,50,5,,,,
,43,5,10,50,5,,,,
,44,5,10,50,5,,,,
,45,5,10,50,5,,,,
,46,5,10,50,5,,,,
,47,5,10,50,5,,,,
,48,5,10,50,5,,,,
,49,5,10,50,5,,,,
,50,5,10,50,5,,,,
,51,5,10,50,5,,,,
,52,5,10,50,5,,,,
,53,5,10,50,5,,,,
,54,5,10,50,5,,,,
,55,5,10,50,5,,,,
,56,5,10,50,5,,,,
,57,5,10,50,5,,,,
,58,5,10,50,5,,,,
,59,5,10,50,5,,,,
,60,5,10,50,5,,,,
,61,5,10,50,5,,,,
,62,5,10,50,5,,,,
,63,5,10,50,5,,,,
,64,5,10,50,5,,,,
,65,5,10,50,5,,,,
,66,5,10,50,5,,,,
,67,5,10,50,5,,,,
,68,5,10,50,5,,,,
,69,5,10,50,5,,,,
,70,5,10,50,5,,,,
,71,5,10,50,5,,,,
,72,5,10,50,5,,,,
,73,5,10,50,5,,,,
,74,5,10,50,5,,,,
,75,5,10,50,5,,,,
,76,5,10,50,5,,,,
,77,5,10,50,5,,,,
,78,5,10,50,5,,,,
,79,5,10,50,5,,,,
,80,5,10,50,5,,,,
,81,5,10,50,5,,,,
,82,5,10,50,5,,,,
,83,5,10,50,5,,,,
,84,5,10,50,5,,,,
,85,5,10,50,5,,,,
,86,5,10,50,5,,,,
,87,5,10,50,5,,,,
,88,5,10,50,5,,,,
,89,5,10,50,5,,,,
,90,5,10,50,5,,,,
,91,5,10,50,5,,,,
,92,5,10,50,5,,,,
,93,5,10,50,5,,,,
,94,5,10,50,5,,,,
,95,5,10,50,5,,,,
,96,5,10,50,5,,,,
,97,5,10,50,5,,,,
,98,5,10,50,5,,,,
,99,5,10,50,5,,,,
,100,5,10,50,5,,,,
